iter	Passed	Remaining
0	18	18757
1	36	18390
2	54	18230
3	68	17127
4	83	16557
5	97	16190
6	112	16011
7	127	15859
8	145	16038
9	162	16062
10	179	16158
11	197	16264
12	215	16323
13	232	16379
14	249	16407
15	267	16467
16	284	16462
17	301	16446
18	317	16416
19	333	16364
20	349	16309
21	366	16299
22	382	16253
23	401	16314
24	417	16289
25	433	16256
26	450	16230
27	466	16185
28	482	16161
29	498	16129
30	514	16094
31	531	16075
32	548	16069
33	564	16026
34	580	15993
35	595	15958
36	611	15918
37	627	15883
38	643	15848
39	659	15819
40	675	15806
41	691	15777
42	707	15736
43	722	15702
44	738	15662
45	753	15617
46	768	15584
47	784	15561
48	800	15536
49	816	15517
50	833	15507
51	850	15510
52	866	15487
53	882	15466
54	899	15449
55	915	15431
56	931	15413
57	947	15392
58	963	15368
59	979	15340
60	995	15324
61	1011	15310
62	1028	15294
63	1045	15283
64	1061	15274
65	1077	15251
66	1092	15220
67	1108	15188
68	1123	15159
69	1139	15136
70	1154	15111
71	1170	15087
72	1186	15068
73	1202	15045
74	1217	15015
75	1232	14983
76	1248	14960
77	1263	14930
78	1278	14909
79	1294	14888
80	1310	14867
81	1326	14848
82	1342	14832
83	1358	14812
84	1374	14794
85	1389	14769
86	1405	14745
87	1421	14731
88	1437	14712
89	1453	14696
90	1469	14683
91	1485	14662
92	1501	14644
93	1517	14627
94	1533	14608
95	1549	14588
96	1565	14569
97	1582	14564
98	1599	14560
99	1616	14548
100	1631	14522
101	1647	14500
102	1662	14480
103	1678	14458
104	1693	14438
105	1709	14416
106	1724	14394
107	1740	14373
108	1755	14350
109	1771	14331
110	1789	14330
111	1804	14305
112	1820	14287
113	1834	14260
114	1854	14269
115	1870	14252
116	1885	14233
117	1905	14246
118	1923	14243
119	1939	14224
120	1954	14200
121	1970	14184
122	1987	14169
123	2002	14149
124	2018	14132
125	2035	14116
126	2051	14102
127	2068	14090
128	2084	14074
129	2100	14057
130	2116	14042
131	2132	14023
132	2149	14010
133	2165	13996
134	2181	13975
135	2200	13980
136	2216	13965
137	2235	13966
138	2253	13956
139	2276	13986
140	2292	13966
141	2309	13952
142	2324	13932
143	2340	13910
144	2355	13891
145	2371	13871
146	2386	13850
147	2402	13833
148	2419	13817
149	2434	13795
150	2449	13773
151	2464	13751
152	2480	13731
153	2496	13714
154	2512	13696
155	2528	13679
156	2544	13662
157	2569	13691
158	2587	13684
159	2603	13668
160	2621	13662
161	2645	13682
162	2662	13670
163	2678	13654
164	2695	13640
165	2711	13624
166	2722	13577
167	2738	13560
168	2753	13541
169	2769	13523
170	2785	13504
171	2803	13494
172	2820	13482
173	2835	13462
174	2851	13442
175	2867	13423
176	2882	13401
177	2897	13381
178	2913	13364
179	2929	13344
180	2944	13325
181	2964	13324
182	2981	13311
183	2997	13293
184	3014	13279
185	3033	13276
186	3049	13259
187	3066	13243
188	3082	13228
189	3098	13209
190	3115	13194
191	3130	13174
192	3146	13155
193	3162	13139
194	3178	13121
195	3198	13120
196	3220	13125
197	3245	13146
198	3261	13126
199	3276	13107
200	3293	13091
201	3309	13074
202	3325	13057
203	3342	13042
204	3358	13024
205	3375	13010
206	3391	12991
207	3407	12973
208	3423	12957
209	3439	12940
210	3455	12919
211	3471	12902
212	3487	12884
213	3502	12863
214	3517	12844
215	3533	12823
216	3550	12809
217	3567	12797
218	3585	12787
219	3601	12770
220	3617	12752
221	3633	12732
222	3649	12717
223	3665	12696
224	3682	12685
225	3699	12668
226	3715	12650
227	3730	12630
228	3748	12618
229	3764	12603
230	3780	12584
231	3796	12567
232	3812	12549
233	3828	12531
234	3843	12511
235	3860	12496
236	3876	12480
